T,N,d,batch_size,K,L1_err,time simu
10.0,1.0,5.0,200.0,3.0,0.40465039018836974,21.161915343
10.0,1.0,5.0,200.0,3.0,0.35438334223448775,19.012094211
10.0,1.0,5.0,200.0,3.0,0.3479650593478831,19.054340412
10.0,1.0,5.0,200.0,3.0,0.3542038537579003,19.143509989
10.0,1.0,5.0,200.0,3.0,0.321454047533485,19.104712864
10.0,2.0,5.0,200.0,3.0,0.39246517942609266,38.963359885
10.0,2.0,5.0,200.0,3.0,0.37769601175735157,39.047992716
10.0,2.0,5.0,200.0,3.0,0.34064572339555826,39.148360374
10.0,2.0,5.0,200.0,3.0,0.4249845678766309,39.253415255
10.0,2.0,5.0,200.0,3.0,0.46565515364348864,39.389511795
10.0,3.0,5.0,200.0,3.0,0.3830298810634885,59.539470647
10.0,3.0,5.0,200.0,3.0,0.4253486956434879,59.719357607
10.0,3.0,5.0,200.0,3.0,0.4561429450401754,60.098212464
10.0,3.0,5.0,200.0,3.0,0.4307620014354681,59.961603507
10.0,3.0,5.0,200.0,3.0,0.33134013447568583,60.09163018
10.0,4.0,5.0,200.0,3.0,0.45185953899586373,80.891778738
10.0,4.0,5.0,200.0,3.0,0.4525119090502307,80.99440748
10.0,4.0,5.0,200.0,3.0,0.4330124887808301,81.138069983
10.0,4.0,5.0,200.0,3.0,0.46380797199028856,81.155497485
10.0,4.0,5.0,200.0,3.0,0.41578323471104034,81.50930529
10.0,5.0,5.0,200.0,3.0,0.43269873782098645,102.23468568
10.0,5.0,5.0,200.0,3.0,0.4066016554797777,102.734574877
10.0,5.0,5.0,200.0,3.0,0.45236279244473365,102.710506922
10.0,5.0,5.0,200.0,3.0,0.46532370290076086,102.765520529
10.0,5.0,5.0,200.0,3.0,0.47598998906494894,103.145355092
