T,U,M,d,K,L,u,time simu,ref_value
0.5,1.0,1.0,5.0,5.0,1.0,15.437243191772268,0.000325189,15.153515465455879
0.5,1.0,1.0,5.0,5.0,1.0,16.87426734231436,0.000282569,15.153515465455879
0.5,1.0,1.0,5.0,5.0,1.0,15.502646572516175,0.00025404,15.153515465455879
0.5,1.0,1.0,5.0,5.0,1.0,14.322943834409578,0.000207109,15.153515465455879
0.5,1.0,1.0,5.0,5.0,1.0,14.406532945039078,0.000188249,15.153515465455879
0.5,1.0,2.0,5.0,5.0,2.0,14.483980423809886,0.000417419,15.153515465455879
0.5,1.0,2.0,5.0,5.0,2.0,14.776791817907252,0.00026052,15.153515465455879
0.5,1.0,2.0,5.0,5.0,2.0,14.666133908088373,0.00021298,15.153515465455879
0.5,1.0,2.0,5.0,5.0,2.0,15.031979707199616,0.000228889,15.153515465455879
0.5,1.0,2.0,5.0,5.0,2.0,16.950204052921837,0.00023465,15.153515465455879
0.5,1.0,3.0,5.0,5.0,3.0,14.576335279226733,0.00361549,15.153515465455879
0.5,1.0,3.0,5.0,5.0,3.0,17.583460354101316,0.003506191,15.153515465455879
0.5,1.0,3.0,5.0,5.0,3.0,13.703505604880759,0.003383661,15.153515465455879
0.5,1.0,3.0,5.0,5.0,3.0,14.97603361399466,0.003501831,15.153515465455879
0.5,1.0,3.0,5.0,5.0,3.0,16.35246754152473,0.00350019,15.153515465455879
0.5,1.0,4.0,5.0,5.0,4.0,15.146083041461665,0.129526878,15.153515465455879
0.5,1.0,4.0,5.0,5.0,4.0,14.541869644421839,0.328703991,15.153515465455879
0.5,1.0,4.0,5.0,5.0,4.0,14.933990962108874,0.20041549,15.153515465455879
0.5,1.0,4.0,5.0,5.0,4.0,14.667721409876384,0.224158847,15.153515465455879
0.5,1.0,4.0,5.0,5.0,4.0,15.562833601340047,0.198837164,15.153515465455879
0.5,1.0,5.0,5.0,5.0,5.0,15.134513365663672,16.146172211,15.153515465455879
0.5,1.0,5.0,5.0,5.0,5.0,15.213163334380894,16.831121143,15.153515465455879
0.5,1.0,5.0,5.0,5.0,5.0,15.129644627911784,16.225314162,15.153515465455879
0.5,1.0,5.0,5.0,5.0,5.0,15.14749995300106,17.54926821,15.153515465455879
0.5,1.0,5.0,5.0,5.0,5.0,15.17462660444208,16.098153565,15.153515465455879
