d,T,N,u,time_simu
1.0,0.2,10.0,0.9993444092494713,747.701009865
1.0,0.2,10.0,0.9914661749326393,631.747161886
1.0,0.2,10.0,1.0062615640197479,625.793874124
1.0,0.2,10.0,0.9978575906564561,618.075793429
1.0,0.2,10.0,0.9971589988434729,612.500324911
1.0,0.5,10.0,0.9858653365087598,605.669786387
1.0,0.5,10.0,0.9941813047806202,600.002419994
1.0,0.5,10.0,0.9800426153129774,580.032119672
1.0,0.5,10.0,0.9784931847220838,576.030226056
1.0,0.5,10.0,0.9684152336691052,576.66377798
1.0,1.0,10.0,0.9836520057177336,385.239711209
1.0,1.0,10.0,0.9774803205482537,380.832016654
1.0,1.0,10.0,0.9808071332850239,385.81341063
1.0,1.0,10.0,0.9869299225791615,375.818951458
1.0,1.0,10.0,0.9834997584699092,373.497637617
2.0,0.2,10.0,0.9903390851304003,550.90972086
2.0,0.2,10.0,0.9804989658917002,549.226978417
2.0,0.2,10.0,0.9851386352474507,545.577733887
2.0,0.2,10.0,0.9848671963113698,543.790461636
2.0,0.2,10.0,0.9865424601313479,539.335951574
2.0,0.5,10.0,0.9733802454275317,538.765382243
2.0,0.5,10.0,0.967376615155331,533.658762004
2.0,0.5,10.0,0.9731571664727388,530.261156753
2.0,0.5,10.0,0.9772173330344438,525.992750411
2.0,0.5,10.0,0.9691527357055701,524.784350083
2.0,1.0,10.0,0.9603544744251289,483.714557891
2.0,1.0,10.0,0.9506259448507529,519.074601291
2.0,1.0,10.0,0.9599802399125792,464.462543611
2.0,1.0,10.0,0.9541778682148898,516.296409072
2.0,1.0,10.0,0.9646282552015286,490.274139842
5.0,0.2,10.0,0.9747032064765818,536.14529679
5.0,0.2,10.0,0.9725128192689896,536.587264772
5.0,0.2,10.0,0.9637083821962826,530.259213533
5.0,0.2,10.0,0.9741614117299587,529.555835775
5.0,0.2,10.0,0.9686348152138148,526.599466315
5.0,0.5,10.0,0.9320310216693515,523.587883201
5.0,0.5,10.0,0.9421201645245788,518.183876691
5.0,0.5,10.0,0.940367697833265,534.265073445
5.0,0.5,10.0,0.9444307494186343,517.852097867
5.0,0.5,10.0,0.9421342672489439,525.368415148
5.0,1.0,10.0,0.9210289857047477,513.089753659
5.0,1.0,10.0,0.9205386831215275,510.959073598
5.0,1.0,10.0,0.9130970695512682,515.135971389
5.0,1.0,10.0,0.9136157178144004,502.814807138
5.0,1.0,10.0,0.9090356397901252,500.585943186
10.0,0.2,10.0,0.9848180682060428,543.843573216
10.0,0.2,10.0,0.984619730787604,534.463139162
10.0,0.2,10.0,0.9766956369132631,532.819203542
10.0,0.2,10.0,0.9109562308334109,530.24114132
10.0,0.2,10.0,0.9840986058807646,530.185631741
10.0,0.5,10.0,0.9112645063070214,527.999397596
10.0,0.5,10.0,0.8683908052412777,536.156226574
10.0,0.5,10.0,0.8776341228610102,527.231561112
10.0,0.5,10.0,0.9105677809171039,525.628183343
10.0,0.5,10.0,0.9106143361636186,527.56724988
10.0,1.0,10.0,0.8563728051744954,524.160815142
10.0,1.0,10.0,0.8698319047059954,519.630277134
10.0,1.0,10.0,0.8405910390915737,519.105163689
10.0,1.0,10.0,0.854425969547949,514.165802079
10.0,1.0,10.0,0.8466915965536406,522.103711174
